competition_id,tag_id
19988,14101
19988,16221
19989,7306
19989,14102
19990,12400
19990,12402
19990,14101
19990,14102
20009,14102
20010,14101
20010,16575
20270,14102
20475,14101
20475,16575
20604,4202
20604,14102
20829,13204
20829,13205
20829,14104
20829,16575
21651,11105
21651,14101
21669,7301
21669,16072
21669,16627
21723,13313
21723,16151
22040,12116
22040,15002
22111,4309
22111,7100
22111,12005
22111,16575
22122,2501
22122,16151
22307,11111
22307,14102
22422,7402
22422,14102
22559,13203
22559,13205
22804,2603
22804,4141
22804,13207
22804,14105
22962,7301
22962,14102
22990,7100
22990,11111
22990,14102
23249,7401
23249,13203
23249,16609
23304,11108
23304,14101
23652,7401
23652,12000
23652,13203
23823,14102
23823,14202
23823,16636
23870,14102
23870,16636
24286,14102
24286,14104
24286,16281
24673,14101
24673,14203
24800,4202
24800,14102
24911,7301
24911,14102
25225,14101
25225,14203
25226,13404
25226,14101
25383,14102
25558,7306
25558,14102
25563,7306
25563,14102
25914,14104
25914,14203
25925,1219
25925,14104
25951,12402
25951,15002
25954,7302
25954,16072
25980,14102
25980,16439
26079,2606
26079,4141
26080,2606
26080,4141
26082,2606
26082,4141
26083,2606
26083,4141
26478,13102
26478,14101
26478,14201
26479,13102
26479,13302
26479,14101
26479,14202
26480,13102
26480,13302
26480,14101
26480,14202
26680,14102
26680,16636
26933,1219
26933,12117
26933,13203
26933,13206
26933,14101
27233,11108
27233,14101
27923,12028
27923,14102
27935,13204
27935,14104
28007,7307
28007,13209
28007,14101
28008,11129
28008,14101
28008,14203
28009,14101
28009,14201
28010,14101
28010,14201
28011,14101
28012,14101
29594,7100
29594,12028
29594,14101
29653,4202
29653,14102
29653,14201
29705,14102
29705,14104
29761,13207
29761,14102
29762,13207
29762,14102
30060,2107
30060,14104
30067,2507
30067,16151
30198,2603
30198,11111
30201,7100
30201,14102
30894,11108
30894,13209
30894,14101
31254,13311
31254,16281
31644,2303
31644,15002
31644,16278
31703,7000
31703,14102
31779,13204
31779,14104
31779,16409
32053,11108
32053,14101
33101,13209
33101,14101
33102,14101
33103,3004
33103,13209
33103,14101
33104,14101
33105,14101
33106,14101
33107,13304
33107,14101
33246,7302
33246,16072
33317,7302
33317,13206
33317,14102
33607,11105
33607,12028
33607,13204
33607,14104
33657,13204
33657,14104
33679,7306
33679,14102
33843,7301
33843,14102
34375,12001
34375,14102
34538,2606
34538,4141
34542,2606
34542,4141
34970,13207
34970,14102
35150,14102
35150,16439
35476,7202
35476,11102
35476,14101
35779,1219
35779,12117
35779,13203
35779,13206
35779,14101
